Benchmark,dotnetcore_nollvm,mono-mono-981da38038775e963db88c40c525aaafb277ff40_nollvm,mono-mono-981da38038775e963db88c40c525aaafb277ff40_nollvm-interpreter
System.Net.Tests.Perf_WebUtility.Decode_NoDecodingRequired,1.00,1.00,0.96,
System.Net.Tests.Perf_WebUtility.HtmlDecode_Entities,1.00,1.00,1.00,
System.Threading.Tests.Perf_Monitor.EnterExit,1.00,1.00,1.00,
System.Threading.Tests.Perf_Monitor.TryEnterExit,1.00,1.00,0.98,
Benchstone.BenchF.Regula.Test,1.00,1.00,1.01,
System.Globalization.Tests.Perf_CultureInfo.GetCurrentCulture,1.00,1.00,0.90,
System.Globalization.Tests.Perf_CultureInfo.GetInvariantCulture,SMALL,SMALL,SMALL,
System.Collections.IterateForEach<Int32>.Array(Size: 512),1.00,1.00,1.00,
System.Collections.IterateForEach<Int32>.Span(Size: 512),1.00,1.00,1.05,
System.Collections.IterateForEach<Int32>.ReadOnlySpan(Size: 512),1.00,1.00,1.00,
System.Collections.IterateForEach<Int32>.IEnumerable(Size: 512),1.00,1.00,1.05,
System.Collections.IterateForEach<Int32>.List(Size: 512),1.00,1.00,0.99,
System.Collections.IterateForEach<Int32>.LinkedList(Size: 512),1.00,1.00,1.11,
System.Collections.IterateForEach<Int32>.HashSet(Size: 512),1.00,1.00,0.95,
System.Collections.IterateForEach<Int32>.Dictionary(Size: 512),1.00,1.00,0.99,
System.Collections.IterateForEach<Int32>.Queue(Size: 512),1.00,1.00,1.03,
System.Collections.IterateForEach<Int32>.Stack(Size: 512),1.00,1.00,0.99,
System.Collections.IterateForEach<Int32>.SortedList(Size: 512),1.00,1.00,1.00,
System.Collections.IterateForEach<Int32>.SortedSet(Size: 512),1.00,1.00,0.99,
System.Collections.IterateForEach<Int32>.SortedDictionary(Size: 512),1.00,1.00,1.10,
System.Collections.IterateForEach<Int32>.ConcurrentDictionary(Size: 512),1.00,1.00,0.94,
System.Collections.IterateForEach<Int32>.ConcurrentQueue(Size: 512),1.00,1.00,0.97,
System.Collections.IterateForEach<Int32>.ConcurrentStack(Size: 512),1.00,1.00,1.05,
System.Collections.IterateForEach<Int32>.ConcurrentBag(Size: 512),1.00,1.00,0.99,
System.Collections.IterateForEach<Int32>.ImmutableArray(Size: 512),1.00,1.00,0.99,
System.Collections.IterateForEach<Int32>.ImmutableDictionary(Size: 512),1.00,1.00,0.83,
System.Collections.IterateForEach<Int32>.ImmutableHashSet(Size: 512),1.00,1.00,1.05,
System.Collections.IterateForEach<Int32>.ImmutableList(Size: 512),1.00,1.00,1.02,
System.Collections.IterateForEach<Int32>.ImmutableQueue(Size: 512),1.00,1.00,0.95,
System.Collections.IterateForEach<Int32>.ImmutableStack(Size: 512),1.00,1.00,0.96,
System.Collections.IterateForEach<Int32>.ImmutableSortedDictionary(Size: 512),1.00,1.00,0.98,
System.Collections.IterateForEach<Int32>.ImmutableSortedSet(Size: 512),1.00,1.00,1.01,
System.Memory.Memory<Byte>.Pin(Size: 512),1.00,1.00,1.02,
System.Memory.Memory<Byte>.ToArray(Size: 512),1.00,1.00,0.98,
System.Numerics.Tests.Perf_Vector2.AddOperatorBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector2.AddFunctionBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector2.SubtractOperatorBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector2.SubtractFunctionBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector2.MultiplyOperatorBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector2.MultiplyFunctionBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector2.DistanceSquaredBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector2.LengthSquaredBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector2.GetHashCodeBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector2.DistanceBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector2.DotBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector2.LengthBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector2.SquareRootBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector2.NormalizeBenchmark,SMALL,SMALL,SMALL,
BenchmarksGame.ReverseComplement_6.RunBench,1.00,1.00,1.01,
BenchmarksGame.NBody_3.RunBench,1.00,1.00,0.99,
System.Net.Primitives.Tests.IPAddressPerformanceTests.NetworkToHostOrder,SMALL,SMALL,SMALL,
System.Net.Primitives.Tests.IPAddressPerformanceTests.GetAddressBytes(address: 1020:3040:5060:7080:9...,1.00,1.00,1.01,
System.Net.Primitives.Tests.IPAddressPerformanceTests.ToString(address: 1020:3040:5060:7080:9010:111...,SMALL,SMALL,SMALL,
System.Net.Primitives.Tests.IPAddressPerformanceTests.TryFormat(address: 1020:3040:5060:7080:9010:11...,1.00,1.00,0.99,
System.Net.Primitives.Tests.IPAddressPerformanceTests.TryWriteBytes(address: 1020:3040:5060:7080:901...,1.00,1.00,1.02,
System.Net.Primitives.Tests.IPAddressPerformanceTests.GetAddressBytes(address: 143.24.20.36),1.00,1.00,0.98,
System.Net.Primitives.Tests.IPAddressPerformanceTests.ToString(address: 143.24.20.36),SMALL,SMALL,SMALL,
System.Net.Primitives.Tests.IPAddressPerformanceTests.TryFormat(address: 143.24.20.36),1.00,1.00,0.97,
System.Net.Primitives.Tests.IPAddressPerformanceTests.TryWriteBytes(address: 143.24.20.36),1.00,1.00,0.98,
System.Net.Primitives.Tests.IPAddressPerformanceTests.Ctor_Bytes(address: [143; 24; 20; 36]),1.00,1.00,1.00,
System.Net.Primitives.Tests.IPAddressPerformanceTests.Ctor_Bytes(address: [16; 32; 48; 64; 80; ...]),1.00,1.00,0.98,
System.Net.Primitives.Tests.IPAddressPerformanceTests.Ctor_Span(address: [143; 24; 20; 36]),1.00,1.00,0.96,
System.Net.Primitives.Tests.IPAddressPerformanceTests.Ctor_Span(address: [16; 32; 48; 64; 80; ...]),1.00,1.00,0.99,
MicroBenchmarks.Serializers.Json_FromString<LoginViewModel>.Jil_,1.00,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromString<LoginViewModel>.JsonNet_,1.00,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromString<LoginViewModel>.Utf8Json_,1.00,1.00,1.03,
Layout.SearchLoops.LoopReturn,1.00,1.00,0.96,
Layout.SearchLoops.LoopGoto,1.00,1.00,0.97,
GuardedDevirtualization.ThreeClassInterface.Call(testInput: pB=0.00 pD=0.00),SMALL,SMALL,SMALL,
GuardedDevirtualization.ThreeClassInterface.Call(testInput: pB=0.00 pD=0.33),1.00,1.00,0.97,
GuardedDevirtualization.ThreeClassInterface.Call(testInput: pB=0.00 pD=0.67),1.00,1.00,1.04,
GuardedDevirtualization.ThreeClassInterface.Call(testInput: pB=0.00 pD=1.00),SMALL,SMALL,SMALL,
GuardedDevirtualization.ThreeClassInterface.Call(testInput: pB=0.33 pD=0.00),1.00,1.00,1.01,
GuardedDevirtualization.ThreeClassInterface.Call(testInput: pB=0.33 pD=0.33),1.00,1.00,1.01,
GuardedDevirtualization.ThreeClassInterface.Call(testInput: pB=0.33 pD=0.67),1.00,1.00,0.99,
GuardedDevirtualization.ThreeClassInterface.Call(testInput: pB=0.67 pD=0.00),1.00,1.00,0.99,
GuardedDevirtualization.ThreeClassInterface.Call(testInput: pB=0.67 pD=0.33),1.00,1.00,1.00,
GuardedDevirtualization.ThreeClassInterface.Call(testInput: pB=1.00 pD=0.00),SMALL,SMALL,SMALL,
System.Text.Json.Serialization.Tests.ReadPreservedReferences<SimpleListOfInt>.DeserializePreserved(I...,1.00,1.00,1.02,
System.Text.Json.Serialization.Tests.ReadPreservedReferences<SimpleListOfInt>.NewtonsoftDeserializeP...,1.00,1.00,1.06,
System.Text.Json.Serialization.Tests.ReadPreservedReferences<SimpleListOfInt>.DeserializePreserved(I...,1.00,1.00,1.03,
System.Text.Json.Serialization.Tests.ReadPreservedReferences<SimpleListOfInt>.NewtonsoftDeserializeP...,1.00,1.00,0.98,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterDouble(value: -1.7976931348623157E+308),1.00,1.00,0.97,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterInt32(value: -2147483648),1.00,1.00,1.01,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterInt64(value: -9223372036854775808),1.00,1.00,1.03,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterUInt64(value: 0),SMALL,SMALL,SMALL,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterUInt32(value: 0),SMALL,SMALL,SMALL,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterDouble(value: 1.7976931348623157E+308),1.00,1.00,1.00,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterDateTimeOffsetNow(value: 12/30/2017 3:45:22 AM...,1.00,1.00,1.02,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterInt64(value: 12345),1.00,1.00,1.03,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterUInt64(value: 12345),1.00,1.00,1.00,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterUInt32(value: 12345),1.00,1.00,0.99,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterDouble(value: 12345),1.00,1.00,0.97,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterDecimal(value: 123456.789),1.00,1.00,0.99,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterUInt64(value: 18446744073709551615),1.00,1.00,1.00,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterInt32(value: 4),SMALL,SMALL,SMALL,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterInt32(value: 12345),1.00,1.00,1.00,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterInt32(value: 2147483647),1.00,1.00,1.01,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterUInt32(value: 4294967295),1.00,1.00,1.01,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterInt64(value: 9223372036854775807),1.00,1.00,1.00,
MicroBenchmarks.Serializers.Binary_ToStream<CollectionsOfPrimitives>.BinaryFormatter_,1.00,1.00,1.03,
MicroBenchmarks.Serializers.Binary_ToStream<CollectionsOfPrimitives>.ProtoBuffNet,1.00,1.00,1.04,
MicroBenchmarks.Serializers.Binary_ToStream<CollectionsOfPrimitives>.MessagePack_,1.00,1.00,1.02,
System.Text.Json.Tests.Perf_Ctor.Ctor(Formatted: False; SkipValidation: False),1.00,1.00,1.04,
System.Text.Json.Tests.Perf_Ctor.Ctor(Formatted: False; SkipValidation: True),1.00,1.00,0.99,
System.Text.Json.Tests.Perf_Ctor.Ctor(Formatted: True; SkipValidation: False),1.00,1.00,1.00,
System.Text.Json.Tests.Perf_Ctor.Ctor(Formatted: True; SkipValidation: True),1.00,1.00,1.00,
System.Text.RegularExpressions.Tests.Perf_Regex_Cache.IsMatch(total: 40000; unique: 7; cacheSize: 0),1.00,1.00,0.97,
System.Text.RegularExpressions.Tests.Perf_Regex_Cache.IsMatch_Multithreading(total: 40000; unique: 7...,1.00,1.00,1.01,
System.Text.RegularExpressions.Tests.Perf_Regex_Cache.IsMatch(total: 40000; unique: 1600; cacheSize:...,1.00,1.00,1.02,
System.Text.RegularExpressions.Tests.Perf_Regex_Cache.IsMatch_Multithreading(total: 40000; unique: 1...,1.00,1.00,1.05,
System.Text.RegularExpressions.Tests.Perf_Regex_Cache.IsMatch(total: 40000; unique: 1600; cacheSize:...,1.00,1.00,1.01,
System.Text.RegularExpressions.Tests.Perf_Regex_Cache.IsMatch_Multithreading(total: 40000; unique: 1...,1.00,1.00,1.14,
System.Text.RegularExpressions.Tests.Perf_Regex_Cache.IsMatch(total: 40000; unique: 1600; cacheSize:...,1.00,1.00,1.02,
System.Text.RegularExpressions.Tests.Perf_Regex_Cache.IsMatch_Multithreading(total: 40000; unique: 1...,1.00,1.00,0.90,
System.Text.RegularExpressions.Tests.Perf_Regex_Cache.IsMatch(total: 400000; unique: 1; cacheSize: 1...,1.00,1.00,1.01,
System.Text.RegularExpressions.Tests.Perf_Regex_Cache.IsMatch_Multithreading(total: 400000; unique: ...,1.00,1.00,0.78,
System.Text.RegularExpressions.Tests.Perf_Regex_Cache.IsMatch(total: 400000; unique: 7; cacheSize: 1...,1.00,1.00,1.00,
System.Text.RegularExpressions.Tests.Perf_Regex_Cache.IsMatch_Multithreading(total: 400000; unique: ...,1.00,1.00,0.96,
CscBench.CompileTest,1.00,1.00,1.07,
CscBench.DatflowTest,1.00,1.00,0.98,
System.Memory.Constructors<Byte>.SpanFromArray,1.00,1.00,1.02,
System.Memory.Constructors<Byte>.ReadOnlySpanFromArray,1.00,1.00,1.02,
System.Memory.Constructors<Byte>.SpanFromArrayStartLength,1.00,1.00,0.99,
System.Memory.Constructors<Byte>.ReadOnlySpanFromArrayStartLength,1.00,1.00,0.99,
System.Memory.Constructors<Byte>.SpanFromMemory,1.00,1.00,1.02,
System.Memory.Constructors<Byte>.ReadOnlySpanFromMemory,1.00,1.00,1.01,
System.Memory.Constructors<Byte>.SpanImplicitCastFromArray,SMALL,SMALL,SMALL,
System.Memory.Constructors<Byte>.ReadOnlySpanImplicitCastFromArray,SMALL,SMALL,SMALL,
System.Memory.Constructors<Byte>.SpanImplicitCastFromArraySegment,1.00,1.00,1.00,
System.Memory.Constructors<Byte>.ReadOnlySpanImplicitCastFromArraySegment,1.00,1.00,1.00,
System.Memory.Constructors<Byte>.ReadOnlySpanImplicitCastFromSpan,SMALL,SMALL,SMALL,
System.Memory.Constructors<Byte>.MemoryFromArray,1.00,1.00,1.03,
System.Memory.Constructors<Byte>.ReadOnlyMemoryFromArray,1.00,1.00,1.00,
System.Memory.Constructors<Byte>.MemoryFromArrayStartLength,1.00,1.00,0.99,
System.Memory.Constructors<Byte>.ReadOnlyMemoryFromArrayStartLength,1.00,1.00,1.01,
System.Memory.Constructors<Byte>.ArrayAsSpan,1.00,1.00,0.96,
System.Memory.Constructors<Byte>.ArrayAsSpanStartLength,SMALL,SMALL,SMALL,
System.Memory.Constructors<Byte>.ArrayAsMemory,1.00,1.00,1.00,
System.Memory.Constructors<Byte>.ArrayAsMemoryStartLength,1.00,1.00,1.00,
System.Memory.Constructors<Byte>.MemoryMarshalCreateSpan,SMALL,SMALL,SMALL,
System.Memory.Constructors<Byte>.MemoryMarshalCreateReadOnlySpan,SMALL,SMALL,SMALL,
MicroBenchmarks.Serializers.Xml_FromStream<MyEventsListerViewModel>.XmlSerializer_,1.00,1.00,0.98,
MicroBenchmarks.Serializers.Xml_FromStream<MyEventsListerViewModel>.DataContractSerializer_,1.00,1.00,0.94,
System.Tests.Perf_Char.GetUnicodeCategory(c: '.'),SMALL,SMALL,SMALL,
System.Tests.Perf_Char.Char_ToLower(c: 'A'; cultureName: en-US),1.00,1.00,1.01,
System.Tests.Perf_Char.Char_ToUpper(c: 'A'; cultureName: en-US),1.00,1.00,0.99,
System.Tests.Perf_Char.Char_IsLower(input: "Good afternoon; Constable!"),1.00,1.00,1.01,
System.Tests.Perf_Char.Char_IsUpper(input: "Good afternoon; Constable!"),1.00,1.00,0.99,
System.Tests.Perf_Char.Char_ToLower(c: 'a'; cultureName: en-US),1.00,1.00,0.98,
System.Tests.Perf_Char.Char_ToUpper(c: 'a'; cultureName: en-US),1.00,1.00,0.98,
System.Tests.Perf_Char.GetUnicodeCategory(c: 'a'),SMALL,SMALL,SMALL,
System.Tests.Perf_Char.Char_ToLower(c: 'İ'; cultureName: en-US),1.00,1.00,1.04,
System.Tests.Perf_Char.Char_ToUpper(c: 'İ'; cultureName: en-US),1.00,1.00,0.98,
System.Tests.Perf_Char.GetUnicodeCategory(c: 'א'),SMALL,SMALL,SMALL,
System.Tests.Perf_Char.Char_ToLower(c: '你'; cultureName: zh-Hans),1.00,1.00,1.00,
System.Tests.Perf_Char.Char_ToUpper(c: '你'; cultureName: zh-Hans),1.00,1.00,1.00,
Benchstone.BenchF.Lorenz.Test,1.00,1.00,1.00,
System.Text.Json.Serialization.Tests.ReadJson<ImmutableSortedDictionary<String; String>>.Deserialize...,1.00,1.00,1.01,
System.Text.Json.Serialization.Tests.ReadJson<ImmutableSortedDictionary<String; String>>.Deserialize...,1.00,1.00,1.00,
System.Text.Json.Serialization.Tests.ReadJson<ImmutableSortedDictionary<String; String>>.Deserialize...,1.00,1.00,1.00,
MicroBenchmarks.Serializers.Json_ToStream<LoginViewModel>.Jil_,1.00,1.00,1.03,
MicroBenchmarks.Serializers.Json_ToStream<LoginViewModel>.JsonNet_,1.00,1.00,1.07,
MicroBenchmarks.Serializers.Json_ToStream<LoginViewModel>.Utf8Json_,1.00,1.00,0.98,
MicroBenchmarks.Serializers.Json_ToStream<LoginViewModel>.DataContractJsonSerializer_,1.00,1.00,1.02,
System.Text.Json.Serialization.Tests.WriteJson<Hashtable>.SerializeToString,1.00,1.00,1.00,
System.Text.Json.Serialization.Tests.WriteJson<Hashtable>.SerializeToUtf8Bytes,1.00,1.00,1.02,
System.Text.Json.Serialization.Tests.WriteJson<Hashtable>.SerializeToStream,1.00,1.00,0.95,
System.Text.Json.Serialization.Tests.WriteJson<Hashtable>.SerializeObjectProperty,1.00,1.00,0.91,
System.Collections.CreateAddAndClear<String>.Array(Size: 512),1.00,1.00,1.10,
System.Collections.CreateAddAndClear<String>.Span(Size: 512),1.00,1.00,1.00,
System.Collections.CreateAddAndClear<String>.List(Size: 512),1.00,1.00,1.05,
System.Collections.CreateAddAndClear<String>.ICollection(Size: 512),1.00,1.00,1.05,
System.Collections.CreateAddAndClear<String>.LinkedList(Size: 512),1.00,1.00,1.03,
System.Collections.CreateAddAndClear<String>.HashSet(Size: 512),1.00,1.00,1.01,
System.Collections.CreateAddAndClear<String>.Dictionary(Size: 512),1.00,1.00,1.00,
System.Collections.CreateAddAndClear<String>.IDictionary(Size: 512),1.00,1.00,0.98,
System.Collections.CreateAddAndClear<String>.SortedList(Size: 512),1.00,1.00,1.02,
System.Collections.CreateAddAndClear<String>.SortedSet(Size: 512),1.00,1.00,0.96,
System.Collections.CreateAddAndClear<String>.SortedDictionary(Size: 512),1.00,1.00,0.98,
System.Collections.CreateAddAndClear<String>.ConcurrentDictionary(Size: 512),1.00,1.00,1.34,
System.Collections.CreateAddAndClear<String>.Stack(Size: 512),1.00,1.00,0.98,
System.Collections.CreateAddAndClear<String>.ConcurrentStack(Size: 512),1.00,1.00,0.97,
System.Collections.CreateAddAndClear<String>.Queue(Size: 512),1.00,1.00,1.03,
System.Collections.CreateAddAndClear<String>.ConcurrentQueue(Size: 512),1.00,1.00,1.02,
System.Collections.CreateAddAndClear<String>.ConcurrentBag(Size: 512),1.00,1.00,1.02,
System.Collections.ContainsKeyFalse<Int32; Int32>.Dictionary(Size: 512),1.00,1.00,1.01,
System.Collections.ContainsKeyFalse<Int32; Int32>.IDictionary(Size: 512),1.00,1.00,1.01,
System.Collections.ContainsKeyFalse<Int32; Int32>.SortedList(Size: 512),1.00,1.00,1.05,
System.Collections.ContainsKeyFalse<Int32; Int32>.SortedDictionary(Size: 512),1.00,1.00,1.00,
System.Collections.ContainsKeyFalse<Int32; Int32>.ConcurrentDictionary(Size: 512),1.00,1.00,0.97,
System.Collections.ContainsKeyFalse<Int32; Int32>.ImmutableDictionary(Size: 512),1.00,1.00,1.00,
System.Collections.ContainsKeyFalse<Int32; Int32>.ImmutableSortedDictionary(Size: 512),1.00,1.00,1.02,
MicroBenchmarks.Serializers.Xml_ToStream<IndexViewModel>.XmlSerializer_,1.00,1.00,1.01,
MicroBenchmarks.Serializers.Xml_ToStream<IndexViewModel>.DataContractSerializer_,1.00,1.00,0.96,
MicroBenchmarks.Serializers.Xml_FromStream<IndexViewModel>.XmlSerializer_,1.00,1.00,1.01,
MicroBenchmarks.Serializers.Xml_FromStream<IndexViewModel>.DataContractSerializer_,1.00,1.00,0.97,
System.Threading.Channels.Tests.UnboundedChannelPerfTests.TryWriteThenTryRead,1.00,1.00,0.99,
System.Threading.Channels.Tests.UnboundedChannelPerfTests.WriteAsyncThenReadAsync,1.00,1.00,1.00,
System.Threading.Channels.Tests.UnboundedChannelPerfTests.ReadAsyncThenWriteAsync,1.00,1.00,1.06,
System.Threading.Channels.Tests.UnboundedChannelPerfTests.PingPong,1.00,1.00,1.04,
System.Threading.Channels.Tests.SpscUnboundedChannelPerfTests.TryWriteThenTryRead,1.00,1.00,1.01,
System.Threading.Channels.Tests.SpscUnboundedChannelPerfTests.WriteAsyncThenReadAsync,1.00,1.00,1.02,
System.Threading.Channels.Tests.SpscUnboundedChannelPerfTests.ReadAsyncThenWriteAsync,1.00,1.00,1.03,
System.Threading.Channels.Tests.SpscUnboundedChannelPerfTests.PingPong,1.00,1.00,1.02,
System.IO.MemoryMappedFiles.Tests.Perf_MemoryMappedFile.CreateNew(capacity: 10000),1.00,1.00,1.01,
System.IO.MemoryMappedFiles.Tests.Perf_MemoryMappedFile.CreateFromFile(capacity: 10000),1.00,1.00,0.98,
System.IO.MemoryMappedFiles.Tests.Perf_MemoryMappedFile.CreateNew(capacity: 100000),1.00,1.00,1.01,
System.IO.MemoryMappedFiles.Tests.Perf_MemoryMappedFile.CreateFromFile(capacity: 100000),1.00,1.00,1.03,
System.IO.MemoryMappedFiles.Tests.Perf_MemoryMappedFile.CreateNew(capacity: 1000000),1.00,1.00,1.01,
System.IO.MemoryMappedFiles.Tests.Perf_MemoryMappedFile.CreateFromFile(capacity: 1000000),1.00,1.00,1.01,
System.IO.MemoryMappedFiles.Tests.Perf_MemoryMappedFile.CreateNew(capacity: 10000000),1.00,1.00,1.00,
System.IO.MemoryMappedFiles.Tests.Perf_MemoryMappedFile.CreateFromFile(capacity: 10000000),1.00,1.00,1.04,
MicroBenchmarks.Serializers.Json_ToStream<IndexViewModel>.Jil_,1.00,1.00,1.06,
MicroBenchmarks.Serializers.Json_ToStream<IndexViewModel>.JsonNet_,1.00,1.00,0.99,
MicroBenchmarks.Serializers.Json_ToStream<IndexViewModel>.Utf8Json_,1.00,1.00,1.00,
MicroBenchmarks.Serializers.Json_ToStream<IndexViewModel>.DataContractJsonSerializer_,1.00,1.00,0.99,
System.Buffers.Tests.NonStandardArrayPoolTests<Object>.RentNoReturn(RentalSize: 64; UseSharedPool: F...,1.00,1.00,1.02,
System.Buffers.Tests.NonStandardArrayPoolTests<Object>.RentNoReturn(RentalSize: 64; UseSharedPool: T...,1.00,1.00,1.02,
System.Collections.Sort<String>.Array(Size: 512),1.00,1.00,1.00,
System.Collections.Sort<String>.Array_ComparerClass(Size: 512),1.00,1.00,0.99,
System.Collections.Sort<String>.Array_ComparerStruct(Size: 512),1.00,1.00,0.95,
System.Collections.Sort<String>.Array_Comparison(Size: 512),1.00,1.00,0.98,
System.Collections.Sort<String>.List(Size: 512),1.00,1.00,0.97,
System.Collections.Sort<String>.LinqQuery(Size: 512),1.00,1.00,1.03,
System.Collections.Sort<String>.LinqOrderByExtension(Size: 512),1.00,1.00,1.02,
System.Collections.CtorFromCollection<String>.List(Size: 512),1.00,1.00,1.00,
System.Collections.CtorFromCollection<String>.LinkedList(Size: 512),1.00,1.00,1.03,
System.Collections.CtorFromCollection<String>.HashSet(Size: 512),1.00,1.00,1.12,
System.Collections.CtorFromCollection<String>.Dictionary(Size: 512),1.00,1.00,1.03,
