Benchmark,dotnet_core,mono_interpreter,mono_jit
System.Tests.Perf_Uri.DnsSafeHost,1.00,54.69,1.69,
System.Xml.Linq.Perf_XElement.CreateElement,1.00,31.63,3.53,
System.Xml.Linq.Perf_XElement.CreateElementWithNamespace,1.00,66.72,3.94,
System.Xml.Linq.Perf_XElement.CreateWithElements,1.00,22.35,2.47,
System.Xml.Linq.Perf_XElement.CreateElementsWithNamespace,1.00,49.99,3.04,
System.Xml.Linq.Perf_XElement.GetElement,1.00,38.88,3.93,
System.Xml.Linq.Perf_XElement.GetElementWithNamespace,1.00,63.49,4.14,
System.Xml.Linq.Perf_XElement.GetAttribute,1.00,44.01,5.08,
System.Xml.Linq.Perf_XElement.GetValue,1.00,14.99,1.22,
System.Collections.Tests.Add_Remove_SteadyState<Int32>.ConcurrentBag(Count: 512),1.00,18.10,1.03,
System.Collections.Tests.Add_Remove_SteadyState<Int32>.ConcurrentQueue(Count: 512),1.00,15.98,1.34,
System.Collections.Tests.Add_Remove_SteadyState<Int32>.ConcurrentStack(Count: 512),1.00,10.86,0.89,
System.Collections.Tests.Add_Remove_SteadyState<Int32>.Queue(Count: 512),1.00,27.78,1.63,
System.Collections.Tests.Add_Remove_SteadyState<Int32>.Stack(Count: 512),SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_BigInteger.Ctor_ByteArray(numberString: -2147483648),1.00,15.18,1.87,
System.Numerics.Tests.Perf_BigInteger.ToByteArray(numberString: -2147483648),1.00,16.14,1.41,
System.Numerics.Tests.Perf_BigInteger.Parse(numberString: -2147483648),1.00,13.39,1.12,
System.Numerics.Tests.Perf_BigInteger.ToStringX(numberString: -2147483648),1.00,26.38,1.66,
System.Numerics.Tests.Perf_BigInteger.ToStringD(numberString: -2147483648),1.00,18.37,1.57,
System.Numerics.Tests.Perf_BigInteger.Add(arguments: 1024;1024 bits),1.00,23.24,2.65,
System.Numerics.Tests.Perf_BigInteger.Subtract(arguments: 1024;1024 bits),1.00,24.11,2.66,
System.Numerics.Tests.Perf_BigInteger.Multiply(arguments: 1024;1024 bits),1.00,41.37,3.10,
System.Numerics.Tests.Perf_BigInteger.GreatestCommonDivisor(arguments: 1024;1024 bits),1.00,8.68,1.18,
System.Numerics.Tests.Perf_BigInteger.ModPow(arguments: 1024;1024;64 bits),1.00,17.38,1.41,
System.Numerics.Tests.Perf_BigInteger.Divide(arguments: 1024;512 bits),1.00,27.93,2.33,
System.Numerics.Tests.Perf_BigInteger.Remainder(arguments: 1024;512 bits),1.00,26.98,2.23,
System.Numerics.Tests.Perf_BigInteger.Ctor_ByteArray(numberString: 123),1.00,11.36,1.92,
System.Numerics.Tests.Perf_BigInteger.ToByteArray(numberString: 123),1.00,15.06,1.38,
System.Numerics.Tests.Perf_BigInteger.Parse(numberString: 123),1.00,12.72,1.15,
System.Numerics.Tests.Perf_BigInteger.ToStringX(numberString: 123),1.00,27.26,1.62,
System.Numerics.Tests.Perf_BigInteger.ToStringD(numberString: 123),1.00,14.34,1.13,
System.Numerics.Tests.Perf_BigInteger.Ctor_ByteArray(numberString: 123456789012345678901234567890123...,1.00,15.36,1.81,
System.Numerics.Tests.Perf_BigInteger.ToByteArray(numberString: 123456789012345678901234567890123456...,1.00,18.14,1.45,
System.Numerics.Tests.Perf_BigInteger.Parse(numberString: 123456789012345678901234567890123456789012...,1.00,18.84,2.28,
System.Numerics.Tests.Perf_BigInteger.ToStringX(numberString: 12345678901234567890123456789012345678...,1.00,34.48,1.83,
System.Numerics.Tests.Perf_BigInteger.ToStringD(numberString: 12345678901234567890123456789012345678...,1.00,11.62,3.59,
System.Numerics.Tests.Perf_BigInteger.Add(arguments: 16;16 bits),1.00,12.32,1.56,
System.Numerics.Tests.Perf_BigInteger.Subtract(arguments: 16;16 bits),1.00,11.90,1.55,
System.Numerics.Tests.Perf_BigInteger.Multiply(arguments: 16;16 bits),1.00,7.29,1.11,
System.Numerics.Tests.Perf_BigInteger.GreatestCommonDivisor(arguments: 16;16 bits),1.00,2.95,0.95,
System.Numerics.Tests.Perf_BigInteger.ModPow(arguments: 16;16;16 bits),1.00,3.88,1.03,
System.Numerics.Tests.Perf_BigInteger.Divide(arguments: 16;8 bits),1.00,6.74,1.10,
System.Numerics.Tests.Perf_BigInteger.Remainder(arguments: 16;8 bits),1.00,6.84,1.17,
System.Numerics.Tests.Perf_BigInteger.ModPow(arguments: 16384;16384;64 bits),1.00,16.28,1.44,
System.Numerics.Tests.Perf_BigInteger.Divide(arguments: 65536;32768 bits),1.00,9.25,1.74,
System.Numerics.Tests.Perf_BigInteger.Remainder(arguments: 65536;32768 bits),1.00,9.22,1.74,
System.Numerics.Tests.Perf_BigInteger.Add(arguments: 65536;65536 bits),1.00,25.63,6.03,
System.Numerics.Tests.Perf_BigInteger.Subtract(arguments: 65536;65536 bits),1.00,25.92,5.91,
System.Numerics.Tests.Perf_BigInteger.Multiply(arguments: 65536;65536 bits),1.00,42.73,2.93,
System.Numerics.Tests.Perf_BigInteger.GreatestCommonDivisor(arguments: 65536;65536 bits),1.00,19.53,1.81,
System.Collections.TryAddGiventSize<String>.Dictionary(Count: 512),1.00,13.41,1.93,
System.Collections.TryAddGiventSize<String>.ConcurrentDictionary(Count: 512),1.00,18.74,2.47,
System.Buffers.Tests.NonStandardArrayPoolTests<Byte>.RentNoReturn(RentalSize: 64; UseSharedPool: Fal...,1.00,28.72,1.35,
System.Buffers.Tests.NonStandardArrayPoolTests<Byte>.RentNoReturn(RentalSize: 64; UseSharedPool: Tru...,1.00,20.36,1.09,
MicroBenchmarks.Serializers.Binary_ToStream<LoginViewModel>.BinaryFormatter_,1.00,45.14,3.01,
MicroBenchmarks.Serializers.Binary_ToStream<LoginViewModel>.ProtoBuffNet,1.00,39.49,2.80,
MicroBenchmarks.Serializers.Binary_ToStream<LoginViewModel>.MessagePack_,1.00,45.01,1.68,
MicroBenchmarks.Serializers.Xml_ToStream<ClassImplementingIXmlSerialiable>.XmlSerializer_,1.00,42.15,2.93,
MicroBenchmarks.Serializers.Xml_ToStream<ClassImplementingIXmlSerialiable>.DataContractSerializer_,1.00,34.49,1.81,
System.Security.Cryptography.Tests.Perf_Hashing.Sha1,1.00,1.00,1.00,
System.Security.Cryptography.Tests.Perf_Hashing.Sha256,1.00,1.00,1.00,
System.Security.Cryptography.Tests.Perf_Hashing.Sha384,1.00,1.01,1.01,
System.Security.Cryptography.Tests.Perf_Hashing.Sha512,1.00,1.01,1.01,
System.MathBenchmarks.Single.Abs,1.00,380.40,4.87,
System.MathBenchmarks.Single.Acosh,1.00,78.91,1.75,
System.MathBenchmarks.Single.Acos,1.00,91.46,1.72,
System.MathBenchmarks.Single.Asinh,1.00,85.62,1.71,
System.MathBenchmarks.Single.Asin,1.00,91.78,1.76,
System.MathBenchmarks.Single.Atan2,1.00,117.66,1.86,
System.MathBenchmarks.Single.Atanh,1.00,68.59,1.66,
System.MathBenchmarks.Single.Atan,1.00,119.27,4.22,
System.MathBenchmarks.Single.Cbrt,1.00,61.02,1.58,
System.MathBenchmarks.Single.Ceiling,1.00,333.60,4.14,
System.MathBenchmarks.Single.Cosh,1.00,74.98,1.67,
System.MathBenchmarks.Single.Cos,1.00,80.57,1.79,
System.MathBenchmarks.Single.Exp,1.00,69.38,1.46,
System.MathBenchmarks.Single.Floor,1.00,332.50,4.16,
System.MathBenchmarks.Single.FusedMultiplyAdd,1.00,510.22,5.95,
System.MathBenchmarks.Single.ILogB,1.00,154.18,2.01,
System.MathBenchmarks.Single.Log10,1.00,71.83,1.75,
System.MathBenchmarks.Single.Log2,1.00,80.40,1.80,
System.MathBenchmarks.Single.Log,1.00,76.05,1.77,
System.MathBenchmarks.Single.Pow,1.00,38.55,1.42,
System.MathBenchmarks.Single.Round,1.00,56.09,4.90,
System.MathBenchmarks.Single.ScaleB,1.00,152.86,1.91,
System.MathBenchmarks.Single.Sinh,1.00,78.67,2.41,
System.MathBenchmarks.Single.Sin,1.00,82.67,1.82,
System.MathBenchmarks.Single.Sqrt,1.00,350.44,4.40,
System.MathBenchmarks.Single.Tanh,1.00,58.54,1.81,
System.MathBenchmarks.Single.Tan,1.00,44.58,1.36,
System.Memory.Memory<Char>.Pin(Size: 512),1.00,21.33,4.06,
System.Memory.Memory<Char>.ToArray(Size: 512),1.00,44.87,6.85,
System.Reflection.Activator<EmptyClass>.CreateInstanceGeneric,1.00,28.80,8.30,
System.Reflection.Activator<EmptyClass>.CreateInstanceType,1.00,55.86,14.01,
System.Reflection.Activator<EmptyClass>.CreateInstanceNames,1.00,11.52,2.49,
Span.Sorting.QuickSortSpan(Size: 512),1.00,18.94,1.61,
Span.Sorting.BubbleSortSpan(Size: 512),1.00,18.24,2.16,
Span.Sorting.QuickSortArray(Size: 512),1.00,12.11,1.99,
Span.Sorting.BubbleSortArray(Size: 512),1.00,16.14,1.82,
System.Reflection.Attributes.GetCustomAttributesClassHitInherit,1.00,16.63,4.61,
System.Reflection.Attributes.GetCustomAttributesClassMissInherit,1.00,32.55,12.90,
System.Reflection.Attributes.GetCustomAttributesClassHit,1.00,5.61,1.97,
System.Reflection.Attributes.GetCustomAttributesClassMiss,1.00,25.35,7.09,
System.Reflection.Attributes.GetCustomAttributesMethodOverrideHitInherit,1.00,9.24,2.37,
System.Reflection.Attributes.GetCustomAttributesMethodOverrideMissInherit,1.00,14.26,3.70,
System.Reflection.Attributes.GetCustomAttributesMethodOverrideHit,1.00,2.12,1.29,
System.Reflection.Attributes.GetCustomAttributesMethodOverrideMiss,1.00,2.25,1.41,
System.Reflection.Attributes.GetCustomAttributesMethodBaseHitInherit,1.00,7.53,2.23,
System.Reflection.Attributes.GetCustomAttributesMethodBaseMissInherit,1.00,30.06,8.68,
System.Reflection.Attributes.GetCustomAttributesMethodBaseHit,1.00,2.32,1.44,
System.Reflection.Attributes.GetCustomAttributesMethodBaseMiss,1.00,29.27,9.03,
System.Reflection.Attributes.IsDefinedClassHitInherit,1.00,1.39,0.95,
System.Reflection.Attributes.IsDefinedClassMissInherit,1.00,5.46,2.70,
System.Reflection.Attributes.IsDefinedClassHit,1.00,1.59,1.17,
System.Reflection.Attributes.IsDefinedClassMiss,1.00,7.58,3.51,
System.Reflection.Attributes.IsDefinedMethodOverrideHitInherit,1.00,2.03,1.33,
System.Reflection.Attributes.IsDefinedMethodOverrideMissInherit,1.00,2.03,1.33,
System.Reflection.Attributes.IsDefinedMethodOverrideHit,1.00,2.03,1.27,
System.Reflection.Attributes.IsDefinedMethodOverrideMiss,1.00,1.96,1.27,
System.Reflection.Attributes.IsDefinedMethodBaseHitInherit,1.00,2.00,1.36,
System.Reflection.Attributes.IsDefinedMethodBaseMissInherit,1.00,14.97,6.34,
System.Reflection.Attributes.IsDefinedMethodBaseHit,1.00,2.06,1.34,
System.Reflection.Attributes.IsDefinedMethodBaseMiss,1.00,12.96,7.09,
System.Text.Json.Serialization.Tests.WriteJson<Location>.SerializeToString,1.00,78.83,3.90,
System.Text.Json.Serialization.Tests.WriteJson<Location>.SerializeToUtf8Bytes,1.00,64.25,2.92,
System.Text.Json.Serialization.Tests.WriteJson<Location>.SerializeToStream,1.00,72.29,3.12,
System.Text.Json.Serialization.Tests.WriteJson<Location>.SerializeObjectProperty,1.00,75.57,3.71,
Benchstone.BenchF.Simpsn.Test,1.00,89.46,2.88,
System.Tests.Perf_String.Concat_CharEnumerable,1.00,27.43,1.73,
System.Tests.Perf_String.IndexOfAny,1.00,83.17,3.94,
System.Tests.Perf_String.Format_MultipleArgs,1.00,35.12,1.74,
System.Tests.Perf_String.IndexerCheckBoundCheckHoist,1.00,16.85,1.70,
System.Tests.Perf_String.IndexerCheckLengthHoisting,1.00,27.79,2.35,
System.Tests.Perf_String.IndexerCheckPathLength,1.00,16.71,1.34,
System.Tests.Perf_String.Trim_CharArr(s: " Te st  "; c: [' '; ' ']),1.00,31.06,2.47,
System.Tests.Perf_String.Trim(s: " Te st  "),1.00,91.36,7.96,
System.Tests.Perf_String.Trim_CharArr(s: " Test"; c: [' '; ' ']),1.00,30.51,2.34,
System.Tests.Perf_String.TrimStart_CharArr(s: " Test"; c: [' '; ' ']),1.00,27.37,2.16,
System.Tests.Perf_String.Trim(s: " Test"),1.00,77.55,6.47,
System.Tests.Perf_String.TrimStart(s: " Test"),1.00,57.51,4.58,
System.Tests.Perf_String.Interpolation_MultipleArgs(c: '1'; s: "Foo"),1.00,34.57,1.70,
System.Tests.Perf_String.GetChars(size: 100),1.00,13.99,4.97,
System.Tests.Perf_String.Concat_str_str(size: 100),1.00,19.20,5.20,
System.Tests.Perf_String.Concat_str_str_str(size: 100),1.00,17.59,5.11,
System.Tests.Perf_String.Concat_str_str_str_str(size: 100),1.00,17.42,5.58,
System.Tests.Perf_String.GetChars(size: 1000),1.00,8.51,6.02,
System.Tests.Perf_String.Concat_str_str(size: 1000),1.00,8.90,5.90,
System.Tests.Perf_String.Concat_str_str_str(size: 1000),1.00,8.40,5.60,
System.Tests.Perf_String.Concat_str_str_str_str(size: 1000),1.00,20.20,10.92,
System.Tests.Perf_String.PadLeft(n: 18),1.00,28.30,2.18,
System.Tests.Perf_String.PadLeft(n: 2142),1.00,18.27,1.72,
System.Tests.Perf_String.Split(s: "A B C D E F G H I J K L M N O P Q R S T U V W X Y Z"; arr: [' '];...,1.00,21.45,1.63,
System.Tests.Perf_String.Split(s: "A B C D E F G H I J K L M N O P Q R S T U V W X Y Z"; arr: [' '];...,1.00,21.48,1.68,
System.Tests.Perf_String.Split(s: "ABCDEFGHIJKLMNOPQRSTUVWXYZ"; arr: [' ']; options: None),1.00,20.91,2.23,
System.Tests.Perf_String.Split(s: "ABCDEFGHIJKLMNOPQRSTUVWXYZ"; arr: [' ']; options: RemoveEmptyEntr...,1.00,20.43,2.18,
System.Tests.Perf_String.Replace_Char(text: "Hello"; oldChar: 'a'; newChar: 'b'),SMALL,SMALL,SMALL,
System.Tests.Perf_String.Replace_Char(text: "Hello"; oldChar: 'l'; newChar: '!'),1.00,18.34,1.30,
System.Tests.Perf_String.ToUpper(s: "TEST"),1.00,19.74,1.60,
System.Tests.Perf_String.ToUpperInvariant(s: "TEST"),SMALL,SMALL,SMALL,
System.Tests.Perf_String.ToLower(s: "TEST"),1.00,76.68,2.96,
System.Tests.Perf_String.ToLowerInvariant(s: "TEST"),1.00,106.41,4.10,
System.Tests.Perf_String.ToUpper(s: "TeSt"),1.00,76.78,2.93,
System.Tests.Perf_String.ToUpperInvariant(s: "TeSt"),1.00,105.05,4.05,
System.Tests.Perf_String.ToLower(s: "TeSt"),1.00,75.66,2.99,
System.Tests.Perf_String.ToLowerInvariant(s: "TeSt"),1.00,107.08,4.08,
System.Tests.Perf_String.Insert(s1: "Test"; i: 2; s2: " Test"),1.00,28.62,1.89,
System.Tests.Perf_String.Trim_CharArr(s: "Test"; c: [' '; ' ']),1.00,29.73,2.42,
System.Tests.Perf_String.TrimStart_CharArr(s: "Test"; c: [' '; ' ']),SMALL,SMALL,SMALL,
System.Tests.Perf_String.TrimEnd_CharArr(s: "Test"; c: [' '; ' ']),1.00,20.35,1.77,
System.Tests.Perf_String.Trim(s: "Test"),SMALL,SMALL,SMALL,
System.Tests.Perf_String.TrimStart(s: "Test"),SMALL,SMALL,SMALL,
System.Tests.Perf_String.TrimEnd(s: "Test"),SMALL,SMALL,SMALL,
System.Tests.Perf_String.Trim_CharArr(s: "Test "; c: [' '; ' ']),1.00,31.66,2.34,
System.Tests.Perf_String.TrimEnd_CharArr(s: "Test "; c: [' '; ' ']),1.00,27.41,2.08,
System.Tests.Perf_String.Trim(s: "Test "),1.00,72.47,6.14,
System.Tests.Perf_String.TrimEnd(s: "Test "),1.00,57.28,4.74,
System.Tests.Perf_String.Format_OneArg(s: "Testing {0}; {0:C}; {0:D5}; {0:E} - {0:F4}{0:G}{0:N}  {0:...,1.00,51.03,1.67,
System.Tests.Perf_String.Format_OneArg(s: "Testing {0}; {0:C}; {0:E} - {0:F4}{0:G}{0:N} ; !!"; o: 3....,1.00,70.27,2.44,
System.Tests.Perf_String.ToUpper(s: "This is a much longer piece of text that might benefit more fro...,1.00,57.15,2.80,
System.Tests.Perf_String.ToUpperInvariant(s: "This is a much longer piece of text that might benefit...,1.00,66.36,3.19,
System.Tests.Perf_String.ToLower(s: "This is a much longer piece of text that might benefit more fro...,1.00,58.31,2.86,
System.Tests.Perf_String.ToLowerInvariant(s: "This is a much longer piece of text that might benefit...,1.00,65.20,3.23,
System.Tests.Perf_String.Replace_String(text: "This is a very nice sentence"; oldValue: "bad"; newVa...,1.00,18.65,2.00,
System.Tests.Perf_String.Replace_Char(text: "This is a very nice sentence"; oldChar: 'i'; newChar: '...,1.00,31.21,2.44,
System.Tests.Perf_String.Replace_String(text: "This is a very nice sentence"; oldValue: "nice"; newV...,1.00,56.60,3.07,
System.Tests.Perf_String.Replace_Char(text: "This is a very nice sentence"; oldChar: 'z'; newChar: '...,1.00,34.53,3.05,
System.Tests.Perf_String.Remove_IntInt(s: "dzsdzsDDZSDZSDZSddsz"; i1: 0; i2: 8),1.00,29.57,2.31,
System.Tests.Perf_String.Substring_IntInt(s: "dzsdzsDDZSDZSDZSddsz"; i1: 0; i2: 8),1.00,28.78,1.77,
System.Tests.Perf_String.Remove_Int(s: "dzsdzsDDZSDZSDZSddsz"; i: 0),SMALL,SMALL,SMALL,
System.Tests.Perf_String.Substring_Int(s: "dzsdzsDDZSDZSDZSddsz"; i: 0),SMALL,SMALL,SMALL,
System.Tests.Perf_String.Remove_IntInt(s: "dzsdzsDDZSDZSDZSddsz"; i1: 7; i2: 4),1.00,31.41,2.36,
System.Tests.Perf_String.Substring_IntInt(s: "dzsdzsDDZSDZSDZSddsz"; i1: 7; i2: 4),1.00,27.82,1.76,
System.Tests.Perf_String.Insert(s1: "dzsdzsDDZSDZSDZSddsz"; i: 7; s2: "Test"),1.00,30.24,2.26,
System.Tests.Perf_String.Remove_Int(s: "dzsdzsDDZSDZSDZSddsz"; i: 7),1.00,26.90,1.68,
System.Tests.Perf_String.Substring_Int(s: "dzsdzsDDZSDZSDZSddsz"; i: 7),1.00,30.77,2.25,
System.Tests.Perf_String.Remove_IntInt(s: "dzsdzsDDZSDZSDZSddsz"; i1: 10; i2: 1),1.00,33.19,2.84,
System.Tests.Perf_String.Substring_IntInt(s: "dzsdzsDDZSDZSDZSddsz"; i1: 10; i2: 1),1.00,27.63,1.83,
System.Tests.Perf_String.Remove_Int(s: "dzsdzsDDZSDZSDZSddsz"; i: 10),1.00,28.40,2.11,
System.Tests.Perf_String.Substring_Int(s: "dzsdzsDDZSDZSDZSddsz"; i: 10),1.00,31.17,2.27,
System.Tests.Perf_String.ToUpper(s: "test"),1.00,75.70,2.96,
System.Tests.Perf_String.ToUpperInvariant(s: "test"),1.00,107.08,4.08,
System.Tests.Perf_String.ToLower(s: "test"),1.00,23.54,1.73,
System.Tests.Perf_String.ToLowerInvariant(s: "test"),SMALL,SMALL,SMALL,
System.Xml.Linq.Perf_XDocument.Create,SMALL,SMALL,SMALL,
System.Xml.Linq.Perf_XDocument.Parse,1.00,42.78,4.09,
System.Xml.Linq.Perf_XDocument.CreateWithRootlEement,1.00,8.47,1.10,
System.Xml.Linq.Perf_XDocument.GetRootElement,1.00,5.80,1.62,
System.Collections.Tests.DictionarySequentialKeys.ContainsValue_17_Int_Int,SMALL,SMALL,SMALL,
System.Collections.Tests.DictionarySequentialKeys.ContainsKey_17_Int_32ByteValue,SMALL,SMALL,SMALL,
System.Collections.Tests.DictionarySequentialKeys.ContainsKey_17_Int_32ByteRefsValue,SMALL,SMALL,SMALL,
System.Collections.Tests.DictionarySequentialKeys.ContainsValue_3k_Int_Int,SMALL,SMALL,SMALL,
System.Collections.Tests.DictionarySequentialKeys.ContainsKey_3k_Int_32ByteValue,SMALL,SMALL,SMALL,
System.Collections.Tests.DictionarySequentialKeys.ContainsKey_3k_Int_32ByteRefsValue,SMALL,SMALL,SMALL,
System.Collections.Tests.DictionarySequentialKeys.TryGetValue_17_Int_Int,SMALL,SMALL,SMALL,
System.Collections.Tests.DictionarySequentialKeys.TryGetValue_17_Int_32ByteValue,SMALL,SMALL,SMALL,
System.Collections.Tests.DictionarySequentialKeys.TryGetValue_17_Int_32ByteRefsValue,1.00,63.19,2.37,
System.Collections.Tests.DictionarySequentialKeys.TryGetValue_3k_Int_Int,SMALL,SMALL,SMALL,
System.Collections.Tests.DictionarySequentialKeys.TryGetValue_3k_Int_32ByteValue,SMALL,SMALL,SMALL,
System.Collections.Tests.DictionarySequentialKeys.TryGetValue_3k_Int_32ByteRefsValue,SMALL,SMALL,SMALL,
Devirtualization.Boxing.InterfaceTypeCheckAndCall,SMALL,SMALL,SMALL,
System.IO.Tests.Perf_FileInfo.ctor_str,1.00,28.73,1.98,
MicroBenchmarks.Serializers.Xml_ToStream<SimpleStructWithProperties>.XmlSerializer_,1.00,46.39,2.69,
MicroBenchmarks.Serializers.Xml_ToStream<SimpleStructWithProperties>.DataContractSerializer_,1.00,36.79,1.82,
System.Threading.Tests.Perf_Volatile.Read_double,SMALL,SMALL,SMALL,
System.Threading.Tests.Perf_Volatile.Write_double,SMALL,SMALL,SMALL,
System.Text.Json.Serialization.Tests.ReadJson<Location>.DeserializeFromString,1.00,83.85,2.45,
System.Text.Json.Serialization.Tests.ReadJson<Location>.DeserializeFromUtf8Bytes,1.00,73.86,1.92,
System.Text.Json.Serialization.Tests.ReadJson<Location>.DeserializeFromStream,1.00,68.00,1.97,
System.Text.Json.Tests.Perf_Guids.WriteGuids(Formatted: False; SkipValidation: False),1.00,39.02,2.12,
System.Text.Json.Tests.Perf_Guids.WriteGuids(Formatted: False; SkipValidation: True),1.00,37.89,2.13,
System.Text.Json.Tests.Perf_Guids.WriteGuids(Formatted: True; SkipValidation: False),1.00,38.09,2.12,
System.Text.Json.Tests.Perf_Guids.WriteGuids(Formatted: True; SkipValidation: True),1.00,37.28,2.13,
MicroBenchmarks.Serializers.Binary_FromStream<Location>.BinaryFormatter_,1.00,32.09,2.19,
MicroBenchmarks.Serializers.Binary_FromStream<Location>.ProtoBuffNet,1.00,43.95,2.11,
MicroBenchmarks.Serializers.Binary_FromStream<Location>.MessagePack_,1.00,30.04,1.91,
Benchstone.BenchI.NDhrystone.Test,1.00,18.29,1.94,
System.Tests.Perf_Int64.ToString(value: -9223372036854775808),1.00,24.97,2.19,
System.Tests.Perf_Int64.Parse(value: "-9223372036854775808"),1.00,19.04,1.63,
System.Tests.Perf_Int64.TryParse(value: "-9223372036854775808"),1.00,19.36,1.74,
System.Tests.Perf_Int64.TryFormat(value: -9223372036854775808),1.00,20.77,1.96,
System.Tests.Perf_Int64.ParseSpan(value: "-9223372036854775808"),1.00,16.97,1.47,
System.Tests.Perf_Int64.TryParseSpan(value: "-9223372036854775808"),1.00,20.56,1.85,
System.Tests.Perf_Int64.ToString(value: 12345),1.00,33.28,2.02,
System.Tests.Perf_Int64.Parse(value: "12345"),1.00,19.64,1.54,
System.Tests.Perf_Int64.TryParse(value: "12345"),1.00,20.86,1.69,
System.Tests.Perf_Int64.TryFormat(value: 12345),1.00,19.16,1.42,
System.Tests.Perf_Int64.ParseSpan(value: "12345"),1.00,17.50,1.37,
System.Tests.Perf_Int64.TryParseSpan(value: "12345"),1.00,22.27,1.81,
System.Tests.Perf_Int64.ToString(value: 9223372036854775807),1.00,25.75,2.37,
System.Tests.Perf_Int64.Parse(value: "9223372036854775807"),1.00,18.64,1.64,
System.Tests.Perf_Int64.TryParse(value: "9223372036854775807"),1.00,19.91,1.77,
System.Tests.Perf_Int64.TryFormat(value: 9223372036854775807),1.00,20.75,1.97,
System.Tests.Perf_Int64.ParseSpan(value: "9223372036854775807"),1.00,17.69,1.51,
System.Tests.Perf_Int64.TryParseSpan(value: "9223372036854775807"),1.00,20.23,1.85,
System.Threading.Tests.Perf_EventWaitHandle.Set_Reset,1.00,4.41,1.17,
Benchstone.BenchI.CSieve.Test,1.00,11.69,1.55,
System.Buffers.Text.Tests.Base64Tests.Base64Encode(NumberOfBytes: 1000),1.00,1830.48,12.95,
System.Buffers.Text.Tests.Base64Tests.Base64EncodeDestinationTooSmall(NumberOfBytes: 1000),1.00,1927.66,12.53,
